model,location,target_end_date,target_variable,value,location_name,population,geo_type,geo_value,abbreviation,full_location_name
Observed Data (JHU),US,2021-07-03,inc case,90258,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-07-10,inc case,133430,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-07-17,inc case,223012,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-07-24,inc case,362612,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-07-31,inc case,549525,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-08-07,inc case,776264,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-08-14,inc case,905416,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-08-21,inc case,1041189,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-08-28,inc case,1088443,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-09-04,inc case,1150001,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-09-11,inc case,1026577,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-09-18,inc case,1032670,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-09-25,inc case,842588,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-10-02,inc case,756930,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2021-10-09,inc case,659720,United States,332875137,state,us,US,United States
